state,year,metric,value
Arunachal Pradesh,2015,SGST,0.0
Arunachal Pradesh,2015,SOTR,535.07
Arunachal Pradesh,2015,Sales/Trade Tax,190.22
Arunachal Pradesh,2015,Share in Union Taxes,7075.58
Arunachal Pradesh,2015,Stamps & Registration,5.63
Arunachal Pradesh,2015,State Excise,86.33
Arunachal Pradesh,2015,Total Revenue Receipts,10553.1
Arunachal Pradesh,2016,Capital: Internal Debt,1015.27
Arunachal Pradesh,2016,Capital: Loan Recoveries,3.79
Arunachal Pradesh,2016,Capital: Loans from Centre,0.0
Arunachal Pradesh,2016,Capital: Misc Receipts,0.0
Arunachal Pradesh,2016,Capital: Public Debt Receipts,1015.27
Arunachal Pradesh,2016,Grants in Aid,2137.7
Arunachal Pradesh,2016,Motor Vehicle Tax,24.47
Arunachal Pradesh,2016,Non-Debt Capital Receipts,3.79
Arunachal Pradesh,2016,Non-Tax Revenue,544.82
Arunachal Pradesh,2016,SGST,0.0
Arunachal Pradesh,2016,SOTR,708.75
Arunachal Pradesh,2016,Sales/Trade Tax,282.54
Arunachal Pradesh,2016,Share in Union Taxes,8388.3
Arunachal Pradesh,2016,Stamps & Registration,5.08
Arunachal Pradesh,2016,State Excise,109.05
Arunachal Pradesh,2016,Total Revenue Receipts,11779.57
Arunachal Pradesh,2017,Capital: Internal Debt,1767.27
Arunachal Pradesh,2017,Capital: Loan Recoveries,5.68
Arunachal Pradesh,2017,Capital: Loans from Centre,0.0
Arunachal Pradesh,2017,Capital: Misc Receipts,0.0
Arunachal Pradesh,2017,Capital: Public Debt Receipts,1767.27
Arunachal Pradesh,2017,FC Grant: Health,0.0
Arunachal Pradesh,2017,FC Grant: Others,0.0
Arunachal Pradesh,2017,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2017,FC Grant: Rural Local Bodies,61.08
Arunachal Pradesh,2017,FC Grant: SDMF,0.0
Arunachal Pradesh,2017,FC Grant: SDRF,51.3
Arunachal Pradesh,2017,FC Grant: Urban Local Bodies,11.71
Arunachal Pradesh,2017,Grants in Aid,3354.06
Arunachal Pradesh,2017,Motor Vehicle Tax,31.4
Arunachal Pradesh,2017,Non-Debt Capital Receipts,5.68
Arunachal Pradesh,2017,Non-Tax Revenue,366.18
Arunachal Pradesh,2017,SGST,223.73
Arunachal Pradesh,2017,SOTR,815.57
